block_id,latitude,longitude,count
491,40.73,-73.945,58
492,40.73,-73.94,67
493,40.73,-73.935,29
494,40.73,-73.925,40
495,40.73,-73.92,124
496,40.73,-73.915,91
497,40.73,-73.91,48
498,40.73,-73.895,35
499,40.73,-73.875,39
500,40.73,-73.87,765
501,40.73,-73.865,325
502,40.73,-73.86,576
503,40.73,-73.85,26
504,40.73,-73.845,27
505,40.73,-73.84,42
506,40.735,-74.04,30
507,40.735,-74.035,55
508,40.735,-74.03,106
509,40.735,-74.025,62
510,40.735,-74.01,103
511,40.735,-74.005,74217
512,40.735,-74,75383
513,40.735,-73.995,85810
514,40.735,-73.99,101099
515,40.735,-73.985,135126
516,40.735,-73.98,84734
517,40.735,-73.975,39496
518,40.735,-73.97,3657
519,40.735,-73.955,183
520,40.735,-73.95,80
521,40.735,-73.94,113
522,40.735,-73.935,176
523,40.735,-73.93,312
524,40.735,-73.925,182
525,40.735,-73.92,177
526,40.735,-73.915,85
527,40.735,-73.905,63
528,40.735,-73.9,41
529,40.735,-73.895,122
530,40.735,-73.89,116
531,40.735,-73.885,292
532,40.735,-73.88,204
533,40.735,-73.875,641
534,40.735,-73.87,129
535,40.735,-73.865,127
536,40.735,-73.86,124
537,40.735,-73.855,77
538,40.735,-73.85,139
539,40.735,-73.845,117
540,40.735,-73.84,47
541,40.74,-74.035,56
542,40.74,-74.03,50
543,40.74,-74.025,33
544,40.74,-74.005,98336
545,40.74,-74,92291
546,40.74,-73.995,81458
547,40.74,-73.99,125879
548,40.74,-73.985,134275
549,40.74,-73.98,131838
550,40.74,-73.975,83112
551,40.74,-73.97,36542
552,40.74,-73.955,527
553,40.74,-73.95,3033
554,40.74,-73.945,808
555,40.74,-73.94,94
556,40.74,-73.935,164
557,40.74,-73.93,1374
558,40.74,-73.925,2151
559,40.74,-73.92,5715
560,40.74,-73.915,4077
561,40.74,-73.91,949
562,40.74,-73.905,773
563,40.74,-73.9,1161
564,40.74,-73.895,734
565,40.74,-73.89,153
566,40.74,-73.885,246
567,40.74,-73.88,372
568,40.74,-73.875,84
569,40.74,-73.87,53
570,40.74,-73.865,36
571,40.74,-73.855,26
572,40.74,-73.85,35
573,40.74,-73.845,54
574,40.74,-73.84,77
575,40.74,-73.835,83
576,40.74,-73.825,29
577,40.74,-73.585,41
578,40.745,-74.035,38
579,40.745,-74.03,66
580,40.745,-74.025,45
581,40.745,-74.01,100
582,40.745,-74.005,25332
583,40.745,-74,65153
584,40.745,-73.995,51496
585,40.745,-73.99,190227
586,40.745,-73.985,143816
587,40.745,-73.98,130047
588,40.745,-73.975,112288
589,40.745,-73.97,65282
590,40.745,-73.965,3077
591,40.745,-73.955,1386
592,40.745,-73.95,938
593,40.745,-73.945,1766
594,40.745,-73.94,1201
595,40.745,-73.935,1586
596,40.745,-73.93,344
597,40.745,-73.925,365
598,40.745,-73.92,442
599,40.745,-73.915,996
600,40.745,-73.91,897
601,40.745,-73.905,668
